asset_id,runtime_filename,category,authoring_method,blender_source,comfy_workflow,model_checkpoint,prompt_sha256,negative_prompt_sha256,seed,control_guide,source_reference,reference_licence,generation_date,normaliser_version,final_sha256,reviewer_decision,rejection_reason
environment.upgrade.red-labels,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Environment/upgrade_red-labels.png,Environment,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,e098b3e31d49b30ffe6606b614b2a9cdaa4008e97922be6fc71b219b1af3ee2e,approved,
fallback.explicit,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Config/explicit_fallback.png,Config,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,e295824f4fc7cd470a1ee91a00db6319df65726ae5fd7a9542133e25975f6ba0,approved,
folder.original.1,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Folders/folder_original_1.png,Folders,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,75ca2359590550873b1a13c04e6fadcbf3c580661349c15ff1b592e0e3e700e6,approved,
folder.original.2,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Folders/folder_original_2.png,Folders,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,b625bfdf26db8d16d9295825c0f4e690fbd08bbd3ef7203a94690072b963d9d9,approved,
folder.original.3,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Folders/folder_original_3.png,Folders,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,4db915e6ac559c154dd47a465efac7c6eef304558d6261e959c15053353f76f9,approved,
folder.original.4,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Folders/folder_original_4.png,Folders,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,594201617a54e65ed26f64a5331bfb787a8d43e53654a58c40d85aae063efdc9,approved,
folder.original.5,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Folders/folder_original_5.png,Folders,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,8820ca30a8eb644f5939395b75cc4f9ebbf2811d9e89930610e66c6eb2e0c887,approved,
folder.original.6,Assets/_Project/Art/OfficeSliceM4/Resources/OfficeSliceM4/Folders/folder_original_6.png,Folders,python-pixel-original,,,,,,420400,,tools/art/office_slice_m4/generate_runtime_art.py,PROJECT-ORIGINAL,2026-08-10,1.0.0,45598bd5f2b58d579f7a0af28e05bee72e2fad33083d5dcb600e293aed737766,approved,
guide.office.flat-colour,ArtLab/OfficeSliceM4/ApprovedSources/Guides/office_m4_flat_colour.png,Guide,blender-workbench-guide,ArtLab/OfficeSliceM4/Blender/office_slice_m4_master.blend,,,,,,,ArtLab/OfficeSliceM4/ApprovedSources/Guides/office_m4_flat_colour.png,PROJECT-ORIGINAL,2026-08-10,1.0.0,5e69f5bd02787fde652d248d1fccaf9d920ce1e47795b7df511702b56c4dfe40,approved,
target.shift1.opening,ArtLab/OfficeSliceM4/ApprovedSources/TargetFrames/shift1_opening_target.png,TargetFrame,python-pixel-original,,,,,,,,ArtLab/OfficeSliceM4/ApprovedSources/TargetFrames/shift1_opening_target.png,PROJECT-ORIGINAL,2026-08-10,1.0.0,aec710b3d5534f0f94d82cf2b33430e8836049f24d0261fb79943049059fd12f,approved,
